Chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;Tram;Dpj;DPeI;dpji;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix
RN2012;2012;TRF5;TRF 5ª Região;RN;0;10260;629;3576;5085;370;106;217;277;36573;1948;5685;23110;1170;157;164;4339;15024;0;15024;15928,18755;0;15928,18755;33513;0;33513;0;8707,2096;0;8707,2096;0;120005,3972;93920165,67;10261943,86;83658221,81;20;4;0;0;3;1;0;0;0;28;349;14;62;0;397;19210;984;6783;6776;918;54;48;3647;5608,839;0;5608,839;28246,8732;0;28246,8732;0;53065,7122
CE2012;2012;TRF5;TRF 5ª Região;CE;0;18661;778;6504;10042;840;56;122;319;98245;2179;12780;64194;2596;26;100;16370;27008;0;27008;32149,94568;0;32149,94568;78200;0;78200;0;34113,9082;0;34113,9082;0;288377,8539;194392532;22800027,35;171592504,7;42;18;0;0;6;1;0;0;0;67;716;10;113;7;826;25612;941;9008;6929;891;49;9;7785;24400,4386;0;24400,4386;82050,4412;0;82050,4412;0;132062,8798
PB2012;2012;TRF5;TRF 5ª Região;PB;0;15170;210;4735;9295;311;22;173;424;60286;1685;7976;43078;1180;57;150;6160;11846;0;11846;25810,40802;0;25810,40802;31129;0;31129;0;25908,2168;0;25908,2168;0;170149,6248;98338642,54;10249983,39;88088659,15;19;6;0;0;3;0;0;0;0;28;383;5;70;1;449;19606;479;6613;8792;253;48;49;3372;16953,8098;0;16953,8098;36188,0729;0;36188,0729;0;72747,8827
total2012;2012;TRF5;TRF 5ª Região;total;1;83202;2752;26844;45385;4140;301;1425;2355;359579;8758;41697;251938;9721;475;1228;45762;79072;0;79072;132239;0;132239;239406;0;239406;0;106706;0;106706;0;1000204;894145902,7;97538574,52;796607328,2;141;42;0;1;24;6;0;0;0;214;3107;86;693;35;3749;132655;4323;41074;54735;5178;388;269;26688;79558;0;79558;258671;0;258671;0;470884
DF2013;2013;TRF1;TRF 1ª Região;DF;0;35662;2954;21036;9995;777;0;1;899;188096;3842;50588;100899;7504;78;123;25062;15042;7;15035;25701;4;25697;28043;70;27973;0;35706;112;35594;0;328250;228012585,8;47125568,75;180887017,1;22;5;3;8;2;0;3;1;2;34;697;76;90;4;715;57299;3332;31825;14140;1732;38;21;6211;8048;5;8043;41997;51;41946;0;107344
GO2013;2013;TRF1;TRF 1ª Região;GO;0;21878;3257;7386;10191;919;9;1;115;127413;3346;13714;100391;3875;257;180;5650;13784;3;13781;16148;4;16144;35267;44;35223;0;38152;68;38084;0;252642;170278192,5;17862382,57;152415810;25;3;5;5;0;2;1;1;0;38;576;14;32;1;595;24743;4129;10903;7140;276;60;131;2104;7150;5;7145;45481;52;45429;0;77374
MT2013;2013;TRF1;TRF 1ª Região;MT;0;14202;3304;5219;5000;662;4;0;13;59461;6226;13631;32784;3202;369;30;3219;4251;4;4247;7676;2;7674;14249;29;14220;0;21990;102;21888;0;121829;94491572,57;9054667,65;85436904,92;16;0;0;1;3;0;0;1;0;19;372;4;14;2;384;19590;4930;9698;2864;509;11;356;1222;2704;1;2703;18745;60;18685;0;41039
MG2013;2013;TRF1;TRF 1ª Região;MG;0;73702;11425;33536;26621;1410;63;6;641;379532;16409;73554;247890;12894;557;415;27813;42764;16;42748;72197;9;72188;110611;236;110375;0;167211;357;166854;0;846017;490198756,1;60756038,23;429442717,9;76;4;11;13;19;1;2;1;1;120;1713;54;122;4;1785;102053;14479;53857;21908;1477;231;350;9751;24290;24;24266;161174;311;160863;0;287517
AC2013;2013;TRF1;TRF 1ª Região;AC;0;2805;965;930;621;268;5;1;15;10693;1134;1638;6370;603;135;122;691;2850;0;2850;5604;0;5604;5604;69;5535;0;9234;108;9126;0;36790;37574946,13;5405020,82;32169925,31;3;0;2;0;0;2;0;0;0;7;143;1;4;0;146;3082;930;1269;397;279;20;35;152;3203;0;3203;9302;84;9218;0;15587
AM2013;2013;TRF1;TRF 1ª Região;AM;0;10272;2519;2467;4601;524;14;0;147;55182;3113;4771;42945;1489;171;227;2466;6895;2;6893;2990;0;2990;10127;23;10104;0;5232;45;5187;0;90698;64293838,56;7412873,99;56880964,57;10;0;0;1;0;1;1;0;0;11;246;5;15;0;256;8310;2631;2872;2053;53;58;99;544;2691;2;2689;13253;31;13222;0;24254
